motion_congruent,motion_incongruent,motion_no,snd_congruent,snd_incongruent,snd_no
653.636370370371,658.394886243387,631.337643162394,385.031024535809,420.792330140485,422.872303959132
599.433732592592,610.495648399014,629.948654022989,459.90282247765,506.176810185185,465.094375
620.018568965517,630.859534482758,651.296535714285,446.536035714286,435.396074074074,471.588810344827
658.347829310345,717.812379310345,700.792017241379,577.464142528735,588.598051724137,605.168039080459
700.115952380952,707.995957142858,707.732147167488,668.509030714285,636.977183760684,681.131728021978
579.508376190476,600.191584929757,580.790547586207,469.49598275862,442.356688505747,473.983932881774
711.171068965517,702.083650574713,714.567467816091,492.141966666666,546.893771164021,547.724722906404
661.125068349754,679.675697089947,682.88847962963,565.416706896552,578.146603448276,553.441612684729
667.373327586207,672.728055555556,694.599896551724,632.813547619048,643.805439613527,630.343582298136
712.592767857143,735.534991666666,723.806952745849,574.000411238825,635.947729395604,589.052633333333
605.511227692308,602.999402821317,609.547215197957,406.24026724138,412.862589285714,410.562994252874
557.871990740741,550.709037675607,572.310851851852,429.036148148148,453.112778325123,440.388312899106
559.899364137931,576.851711538461,589.210309018568,442.508636296297,449.754571937322,454.28011453202
675.503758620689,665.734637931034,658.196016625615,584.749916256158,579.553023399014,589.830055555555
615.36348452381,625.43002955665,643.72561954023,605.601254597701,597.935925287356,596.533189655172
667.698142857143,653.112784219002,712.081066428572,638.953172413793,690.3236,628.82288908046
678.871299603175,664.061413793103,691.831389778325,654.044805172414,610.4545,676.426733333333
777.757061507936,821.206197619048,807.108735632184,729.46724137931,884.091876296297,732.704620689655
760.556743842365,757.375491459627,775.065869458128,651.327896551725,683.139727216749,686.240387931035
670.830466666667,676.848666666667,681.883791256158,495.125333333334,471.443835164835,475.969943121693
588.212697660098,582.950948275862,581.944120689656,391.729827586207,393.948206896552,381.8564348659
654.214172413793,687.066666871921,657.865310344828,658.584735837439,820.732523148148,719.937660714286
688.049534482758,689.826913793103,724.397245073892,692.197172413793,737.578732142857,712.996311904762
590.545224137931,598.30892816092,589.770990476191,619.402316666667,616.43143045977,615.209762068966
598.536210344828,609.776396551724,625.0851,550.225224137931,588.970547619048,551.040474137931
635.413918620689,645.846161494253,671.918294950739,540.72872541507,503.346918803419,578.715473809523
650.4332,663.483472619048,667.929439655172,545.077890873016,504.665107142857,555.845289408867
655.367853767561,663.622465517241,686.387235837439,563.134370689655,574.639646206896,587.374965517241
669.602046428571,641.389984084881,657.879667328042,451.675390394088,465.222724137931,441.89824867374
606.914765394089,629.901787037037,635.273473809523,431.249625,461.61243045977,448.351605295567
