motion_congruent,motion_incongruent,motion_no,snd_congruent,snd_incongruent,snd_no
0.947660098522167,0.933333333333334,0.982142857142857,0.966666666666667,0.966666666666667,0.983333333333334
0.916666666666667,0.983333333333334,1,0.95,1,0.914942528735632
0.983333333333334,1,0.966666666666667,0.95,0.966666666666667,1
1,1,1,1,1,1
0.983333333333334,0.966666666666667,1,0.947619047619048,0.933333333333333,0.95
0.966666666666667,0.966666666666667,0.933333333333334,0.983333333333334,0.983333333333334,1
1,0.983333333333334,1,1,0.983333333333334,0.966666666666667
0.966666666666667,0.95,0.966666666666667,1,0.983333333333334,0.983333333333334
0.983333333333334,0.966666666666667,0.983333333333334,0.982758620689655,0.982142857142857,0.966666666666667
0.983333333333334,1,1,0.983333333333334,0.95,0.983333333333334
0.883333333333334,0.9,0.966666666666667,0.983333333333334,0.966666666666667,1
0.883333333333333,0.966666666666667,0.966666666666667,0.949425287356322,0.966666666666667,0.95
0.916666666666667,0.9,0.933333333333334,0.916666666666667,0.916666666666667,1
1,1,1,0.983333333333334,0.983333333333334,0.933333333333333
0.966666666666667,0.983333333333334,0.983333333333334,1,1,1
0.9,0.883333333333333,0.933333333333334,0.966666666666667,0.866666666666667,1
0.966666666666667,1,0.983333333333334,1,1,1
1,1,0.983333333333334,1,1,1
0.862068965517242,0.883333333333334,0.983333333333334,1,0.983333333333334,1
1,1,0.983333333333334,0.983333333333334,0.95,0.966091954022989
1,1,1,1,1,0.983333333333334
1,0.983333333333334,1,1,0.931034482758621,0.983333333333334
0.983333333333334,1,0.983333333333334,1,0.983333333333334,0.983333333333334
1,0.983333333333334,0.966666666666667,1,0.983333333333334,0.983333333333334
1,1,1,1,0.983333333333334,1
0.916666666666667,1,0.95,0.95,0.932758620689655,0.983333333333334
1,0.983333333333334,0.983333333333334,0.966666666666667,0.966666666666667,0.966666666666667
0.966666666666667,0.983333333333334,0.983333333333334,0.966666666666667,0.933333333333334,0.983333333333334
0.966666666666667,0.95,0.933333333333334,0.983333333333334,0.983333333333334,0.95
0.983333333333334,0.966666666666667,0.983333333333334,0.966666666666667,1,1
