motion_congruent,motion_incongruent,motion_no,snd_congruent,snd_incongruent,snd_no
0.947660099,0.933333333,0.982142857,0.966666667,0.966666667,0.983333333
0.916666667,0.983333333,1,0.95,1,0.914942529
0.983333333,1,0.966666667,0.95,0.966666667,1
1,1,1,1,1,1
0.983333333,0.966666667,1,0.947619048,0.933333333,0.95
0.966666667,0.966666667,0.933333333,0.983333333,0.983333333,1
1,0.983333333,1,1,0.983333333,0.966666667
0.966666667,0.95,0.966666667,1,0.983333333,0.983333333
0.983333333,0.966666667,0.983333333,0.982758621,0.982142857,0.966666667
0.983333333,1,1,0.983333333,0.95,0.983333333
0.883333333,0.9,0.966666667,0.983333333,0.966666667,1
0.883333333,0.966666667,0.966666667,0.949425287,0.966666667,0.95
0.916666667,0.9,0.933333333,0.916666667,0.916666667,1
1,1,1,0.983333333,0.983333333,0.933333333
0.966666667,0.983333333,0.983333333,1,1,1
0.9,0.883333333,0.933333333,0.966666667,0.866666667,1
0.966666667,1,0.983333333,1,1,1
1,1,0.983333333,1,1,1
0.862068966,0.883333333,0.983333333,1,0.983333333,1
1,1,0.983333333,0.983333333,0.95,0.966091954
1,1,1,1,1,0.983333333
1,0.983333333,1,1,0.931034483,0.983333333
0.983333333,1,0.983333333,1,0.983333333,0.983333333
1,0.983333333,0.966666667,1,0.983333333,0.983333333
1,1,1,1,0.983333333,1
0.916666667,1,0.95,0.95,0.932758621,0.983333333
1,0.983333333,0.983333333,0.966666667,0.966666667,0.966666667
0.966666667,0.983333333,0.983333333,0.966666667,0.933333333,0.983333333
0.966666667,0.95,0.933333333,0.983333333,0.983333333,0.95
0.983333333,0.966666667,0.983333333,0.966666667,1,1
