motion_congruent,motion_incongruent,motion_no,snd_congruent,snd_incongruent,snd_no
653.6363704,658.3948862,634.9121868,404.113725,420.7923301,439.7963529
608.7520824,614.0333369,632.8172833,459.9028225,552.8379828,485.1981107
620.018569,636.2525833,651.2965357,446.5360357,435.3960741,471.5888103
658.3478293,723.5235833,700.7920172,577.4641425,596.3766644,605.1680391
700.1159524,707.9959571,712.2971207,673.9894476,650.4684074,692.8639709
579.5083762,597.2845499,580.7905476,473.2605862,442.3566885,485.263996
715.0398724,702.0836506,714.5674678,492.1419667,570.7311207,547.7247229
664.5520345,679.6756971,682.8884796,570.7271052,584.7293609,553.4416127
667.3733276,672.7280556,694.5998966,632.8135476,643.8054396,630.3435823
724.3373756,743.1660132,727.5431022,584.1456804,651.6218882,589.0526333
619.4647521,612.0302309,609.5472152,406.2402672,417.602577,416.6705954
557.8719907,553.6425985,579.1286119,438.6935536,456.4261881,444.6621687
559.8993641,579.5019046,592.7550872,460.303866,464.7823743,467.311181
684.6834,665.7346379,665.4035,575.4892931,589.4677286,607.82825
615.3634845,631.4708098,643.7256195,612.26005,592.5106167,603.8602121
667.6981429,660.4372407,712.0810664,638.9531724,706.1824238,635.2263333
698.9195862,668.8737782,691.8313898,658.6935333,610.4545,683.4536667
813.5488736,829.8034402,827.5199369,737.763527,977.4392494,732.7046207
760.5567438,767.2526638,778.6385976,651.3278966,692.7718893,693.23855
670.8304667,676.8486667,683.1014672,495.1253333,485.8291607,480.2105179
599.3032667,582.9509483,581.9441207,396.0205264,397.1466598,388.909325
654.2141724,693.5260393,657.8653103,667.9047069,829.8148215,739.2292414
688.0495345,692.9295006,728.8656071,697.7049236,751.065,712.9963119
593.2516603,598.3089282,589.7709905,619.4023167,616.4314305,615.2097621
598.5362103,609.7763966,625.0851,556.520423,588.9705476,551.0404741
640.4228267,645.8461615,671.918295,540.7287254,503.3469188,586.348496
650.4332,663.4834726,675.5899971,559.6021016,511.0114717,562.8036552
661.0043849,668.2380345,695.5220759,563.1343707,580.9172433,591.1742006
669.6020464,645.7097128,663.4692886,451.6753904,465.2227241,446.6407538
606.9147654,642.0311071,639.2361856,435.3402106,469.3119167,463.5334351
