motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
613.519,611.129,586.2165,686.768,646.447,646.0035,391.4315,447.502,418.413,404.88,370.1005,402.5445
568.6365,586.5905,613.634,624.393,620.887,625.641,480.313,519.584,482.436,443.487,401.201,388.4995
618.464,638.097,656.1265,624.7065,612.601,620.8865,468.2075,440.422,481.5,417.317,432.5985,466.275
651.667,714.5765,684.843,728.4355,653.929,712.254,592.4,578.419,596.81,549.945,575.1245,558.0275
662.737,671.273,710.957,717.927,721.6255,705.507,710.983,618.437,762.144,647.117,628.061,611.277
590.514,592.325,601.253,607.7685,546.583,549.84,518.626,460.571,562.326,403.035,407.6945,374.337
721.9725,718.3505,696.613,685.006,699.135,683.7115,507.058,542.478,550.5335,519.081,457.4655,507.584
655.305,665.2005,677.4885,684.233,654.675,670.636,636.8415,574.483,580.473,544.401,517.707,480.657
645.592,674.109,720.841,658.589,676.437,665.668,641.2555,682.137,661.567,568.342,610.241,594.384
697.856,720.612,716.644,703.984,699.868,729.4865,580.596,529.136,579.732,603.2,517.433,516.9255
598.437,559.216,577.49,593.805,568.026,595.578,339.7595,372.641,462.1885,391.959,427.242,359.156
545.408,539.314,588.126,545.711,564.7035,559.461,416.4515,449.5665,428.534,443.601,407.102,451.585
554.897,571.477,596.4445,564.121,540.508,584.356,507.65,445.724,431.904,394.192,382.165,413.9075
700.969,643.595,677.443,640.246,653.3775,629.501,625.601,546.8845,576.183,540.4465,485.513,564.6775
636.5465,633.1225,655.9075,617.627,617.6805,616.721,618.2265,609.221,623.5965,564.7135,604.611,571.978
652.518,605.076,686.241,630.3895,649.1995,705.4995,655.739,692.029,632.192,573.3615,541.263,571.0535
701.283,610.492,687.788,687.778,659.68,669.1825,675.489,593.684,738.8265,572.455,622.1715,585.101
836.807,795.596,839.1065,749.9185,715.129,672.656,793.2185,1128.212,761.876,752.8745,621.156,669.449
760.286,733.431,764.255,777.0235,759.407,757.227,718.078,710.651,774.2515,608.16,581.579,580.4025
665.369,656.1995,674.8915,677.193,670.0945,693.335,465.48,429.977,483.9615,466.4005,507.266,458.879
572.4325,562.476,560.695,593.808,603.1245,587.813,383.163,371.322,362.045,379.1005,380.4065,373.742
678.171,666.728,679.758,676.671,639.039,638.536,680.465,839.232,744.113,707.592,607.909,626.917
696.051,687.2505,732.796,685.068,669.516,701.316,718.776,753.957,767.8295,652.203,623.357,629.5225
606.089,613.5205,595.2355,572.958,564.7545,578.867,608.25,668.798,635.647,579.216,610.5845,569.525
620.032,610.601,641.9295,600.04,581.458,586.8195,559.48,539.6565,546.8465,602.4865,512.9835,490.45
604.225,618.063,659.942,650.953,655.25,667.5485,524.53,527.058,562.4425,429.6795,488.39,510.402
612.8585,649.9925,696.718,655.996,675.332,647.796,543.662,541.104,576.558,459.513,518.4885,510.769
678.0425,662.428,693.917,643.924,637.344,658.064,582.976,614.415,646.657,526.51,528.995,518.4035
637.961,662.234,677.62,621.11,648.2155,650.644,439.403,474.138,458.269,433.551,447.624,398.41
618.194,634.333,638.448,639.2665,591.94,616.234,459.629,457.6635,520.7385,396.8565,407.93,394.258
